"Path","Title","Platform","Url","Tags","Status","NeedReview","Mistake","Note"
"CodeForces/2005/A.cpp","A","CodeForces","https://codeforces.com/contest/2005/problem/A","","","","",""
"CodeForces/2005/B.cpp","B","CodeForces","https://codeforces.com/contest/2005/problem/B","","","","",""
"CodeForces/2005/C.cpp","C","CodeForces","https://codeforces.com/contest/2005/problem/C","","","","",""
"CodeForces/2005/E1.cpp","E1","CodeForces","https://codeforces.com/contest/2005/problem/E1","","","","",""
"CodeForces/2008/G. Sakurako's Task.cpp","G. Sakurako's Task","CodeForces","https://codeforces.com/contest/2008/problem/G","","","","",""
"CodeForces/2008/H. Sakurako's Test.cpp","H. Sakurako's Test","CodeForces","https://codeforces.com/contest/2008/problem/H","","","","",""
"CodeForces/2061/A. Kevin and Arithmetic.cpp","A. Kevin and Arithmetic","CodeForces","https://codeforces.com/contest/2061/problem/A","","","","",""
"CodeForces/2061/B. Kevin and Geometry.cpp","B. Kevin and Geometry","CodeForces","https://codeforces.com/contest/2061/problem/B","","","","",""
"CodeForces/2061/C. Kevin and Puzzle.cpp","C. Kevin and Puzzle","CodeForces","https://codeforces.com/contest/2061/problem/C","","","","",""
"CodeForces/2061/D. Kevin and Numbers.cpp","D. Kevin and Numbers","CodeForces","https://codeforces.com/contest/2061/problem/D","","","","",""
"CodeForces/2108/C. Neo's Escape.cpp","C. Neo's Escape","CodeForces","https://codeforces.com/contest/2108/problem/C","","","","",""
"CodeForces/2113/A.cpp","A","CodeForces","https://codeforces.com/contest/2113/problem/A","","","","",""
"CodeForces/2125/D Segments Covering.cpp","D Segments Covering","CodeForces","https://codeforces.com/contest/2125/problem/D","","","","",""
"CodeForces/2130/C.cpp","C","CodeForces","https://codeforces.com/contest/2130/problem/C","","","","",""
"CodeForces/2130/D. Stay or Mirror.cpp","D. Stay or Mirror","CodeForces","https://codeforces.com/contest/2130/problem/D","","","","",""
"CodeForces/2130/E1. Interactive RBS (Easy Version).cpp","E1. Interactive RBS (Easy Version)","CodeForces","https://codeforces.com/contest/2130/problem/E1","","","","",""
"CodeForces/2132/D. From 1 to Infinity.cpp","D. From 1 to Infinity","CodeForces","https://codeforces.com/contest/2132/problem/D","","","","",""
"CodeForces/2133/C(交互).cpp","C(交互)","CodeForces","https://codeforces.com/contest/2133/problem/C","","","","",""
"CodeForces/2133/D Chicken Jockey(dp).cpp","D Chicken Jockey(dp)","CodeForces","https://codeforces.com/contest/2133/problem/D","","","","",""
"CodeForces/2140/C(单指针成双).cpp","C(单指针成双)","CodeForces","https://codeforces.com/contest/2140/problem/C","","","","",""
"CodeForces/2140/D. A Cruel Segment's Thesis.cpp","D. A Cruel Segment's Thesis","CodeForces","https://codeforces.com/contest/2140/problem/D","","","","",""
"CodeForces/2143/C(树-拓扑排序).cpp","C(树-拓扑排序)","CodeForces","https://codeforces.com/contest/2143/problem/C","","","","",""
"CodeForces/2143/D-dp.cpp","D-dp","CodeForces","https://codeforces.com/contest/2143/problem/D","","","","",""
"CodeForces/2146/D1-位运算.cpp","D1-位运算","CodeForces","https://codeforces.com/contest/2146/problem/D1","","","","",""
"CodeForces/2156/D-交互.cpp","D-交互","CodeForces","https://codeforces.com/contest/2156/problem/D","","","","",""
"CodeForces/2157/B. Expansion Plan 2.cpp","B. Expansion Plan 2","CodeForces","https://codeforces.com/contest/2157/problem/B","","","","",""
"CodeForces/2157/C. Meximum Array 2.cpp","C. Meximum Array 2","CodeForces","https://codeforces.com/contest/2157/problem/C","","","","",""
"CodeForces/2157/D. Billion Players Game.cpp","D. Billion Players Game","CodeForces","https://codeforces.com/contest/2157/problem/D","","","","",""
"CodeForces/2157/E. Adjusting Drones.cpp","E. Adjusting Drones","CodeForces","https://codeforces.com/contest/2157/problem/E","","","","",""
"CodeForces/2158/C. Annoying Game.cpp","C. Annoying Game","CodeForces","https://codeforces.com/contest/2158/problem/C","","","","",""
"CodeForces/2158/D. Palindrome Flipping.cpp","D. Palindrome Flipping","CodeForces","https://codeforces.com/contest/2158/problem/D","","","","",""
"CodeForces/2160/D-交互.cpp","D-交互","CodeForces","https://codeforces.com/contest/2160/problem/D","","","","",""
"CodeForces/2162/D-交互.cpp","D-交互","CodeForces","https://codeforces.com/contest/2162/problem/D","","","","",""
"CodeForces/2162/F-dfs-LCA.cpp","F-dfs-LCA","CodeForces","https://codeforces.com/contest/2162/problem/F","","","","",""
"CodeForces/2162/G-dp.cpp","G-dp","CodeForces","https://codeforces.com/contest/2162/problem/G","","","","",""
"CodeForces/2163/B. Siga ta Kymata.cpp","B. Siga ta Kymata","CodeForces","https://codeforces.com/contest/2163/problem/B","","","","",""
"CodeForces/2163/C. Monopati.cpp","C. Monopati","CodeForces","https://codeforces.com/contest/2163/problem/C","","","","",""
"CodeForces/2163/D1. Diadrash (Easy Version).cpp","D1. Diadrash (Easy Version)","CodeForces","https://codeforces.com/contest/2163/problem/D1","","","","",""
